from_mail,to_mail,template,subject,date
teste@gmail.com,teste2@gmail.com,template1,subject1subject1subject1subject1subject1,today
teste3@gmail.com,teste4@gmail.com,template1,subject2,yesterday
teste5@gmail.com,teste6@gmail.com,template2,subject3,tomorrow
teste7@gmail.com,teste8@gmail.com,template2,subject4,today
teste@gmail.com,teste2@gmail.com,template1,subject1,today
teste3@gmail.com,teste4@gmail.com,template1,subject2,yesterday
teste5@gmail.com,teste6@gmail.com,template2,subject3,tomorrow
teste7@gmail.com,teste8@gmail.com,template2,subject4,today
teste@gmail.com,teste2@gmail.com,template1,subject1,today
teste3@gmail.com,teste4@gmail.com,template1,subject2,yesterday
teste5@gmail.com,teste6@gmail.com,template2,subject3,tomorrow
teste7@gmail.com,teste8@gmail.com,template2,subject4,today
